score,city,date,measurement_kind,unit,unique_accounts,signal_count,trade_rows,active_position_rows,active_value_usdc,trade_usdc,top_temperatures,market_type_counts,side_counts,top_handles
71.33,Munich,April 5,highest,C,3,7,3,4,82.52,0.0,"[{""label"": ""24C or higher"", ""count"": 4}, {""label"": ""22C"", ""count"": 2}, {""label"": ""23C"", ""count"": 1}]","{""threshold_high"": 4, ""exact_value"": 3}","{""YES"": 4, ""BUY"": 3}","[{""handle"": ""Alrescha-114"", ""count"": 4}, {""handle"": ""huskyvs"", ""count"": 2}, {""handle"": ""heimaokuaipao"", ""count"": 1}]"
71.12,Seattle,March 5,highest,F,3,7,0,7,62.26,0.0,"[{""label"": ""52-53F"", ""count"": 2}, {""label"": ""48-49F"", ""count"": 1}, {""label"": ""42-43F"", ""count"": 1}, {""label"": ""44-45F"", ""count"": 1}, {""label"": ""40-41F"", ""count"": 1}, {""label"": ""39F or below"", ""count"": 1}]","{""exact_range"": 6, ""threshold_low"": 1}","{""YES"": 7}","[{""handle"": ""xX25Xx"", ""count"": 4}, {""handle"": ""0xhana"", ""count"": 2}, {""handle"": ""daasw"", ""count"": 1}]"
71.12,Guangzhou,April 23,highest,C,3,7,4,3,62.29,0.0,"[{""label"": ""26C"", ""count"": 3}, {""label"": ""23C"", ""count"": 1}, {""label"": ""25C"", ""count"": 1}, {""label"": ""24C"", ""count"": 1}, {""label"": ""27C"", ""count"": 1}]","{""exact_value"": 7}","{""BUY"": 3, ""YES"": 3, ""SELL"": 1}","[{""handle"": ""Lex-tang"", ""count"": 5}, {""handle"": ""0x4CE3f17Be91C3d0D6dbFed7Bd4D326957dec4291-1768045938794"", ""count"": 1}, {""handle"": ""tianqizhishen"", ""count"": 1}]"
70.99,Tel Aviv,April 19,highest,C,3,7,4,3,49.08,0.0,"[{""label"": ""23C"", ""count"": 3}, {""label"": ""24C"", ""count"": 2}, {""label"": ""22C"", ""count"": 1}, {""label"": ""21C"", ""count"": 1}]","{""exact_value"": 7}","{""BUY"": 4, ""YES"": 3}","[{""handle"": ""neophyt"", ""count"": 3}, {""handle"": ""hkooooo"", ""count"": 3}, {""handle"": ""0x173516ae13b47be650a6df996ec4ff2f24950319"", ""count"": 1}]"
70.94,Toronto,March 13,highest,C,3,7,0,7,44.17,0.0,"[{""label"": ""3C"", ""count"": 3}, {""label"": ""4C"", ""count"": 2}, {""label"": ""5C or higher"", ""count"": 2}]","{""exact_value"": 5, ""threshold_high"": 2}","{""YES"": 7}","[{""handle"": ""daasw"", ""count"": 3}, {""handle"": ""0xf64145c4c47B7Ce75CDe11C15A82136a14fB2B4A-1770645462820"", ""count"": 3}, {""handle"": ""0x4CE3f17Be91C3d0D6dbFed7Bd4D326957dec4291-1768045938794"", ""count"": 1}]"
70.94,Singapore,April 21,highest,C,3,7,4,3,44.14,0.0,"[{""label"": ""31C"", ""count"": 4}, {""label"": ""30C"", ""count"": 2}, {""label"": ""32C"", ""count"": 1}]","{""exact_value"": 7}","{""BUY"": 3, ""NO"": 2, ""SELL"": 1, ""YES"": 1}","[{""handle"": ""FohnHairdryer"", ""count"": 5}, {""handle"": ""punch-the-macaque"", ""count"": 1}, {""handle"": ""0x98e9cf8704286c45a124a6f35b4e7de847e32ea5"", ""count"": 1}]"
70.9,Warsaw,April 4,highest,C,3,7,2,5,39.93,0.0,"[{""label"": ""12C"", ""count"": 3}, {""label"": ""13C"", ""count"": 2}, {""label"": ""18C"", ""count"": 1}, {""label"": ""11C"", ""count"": 1}]","{""exact_value"": 7}","{""YES"": 5, ""SELL"": 2}","[{""handle"": ""0x173516ae13b47be650a6df996ec4ff2f24950319"", ""count"": 4}, {""handle"": ""hkooooo"", ""count"": 2}, {""handle"": ""Wistesty"", ""count"": 1}]"
70.87,Warsaw,April 13,highest,C,3,7,2,5,37.43,0.0,"[{""label"": ""14C"", ""count"": 2}, {""label"": ""15C"", ""count"": 2}, {""label"": ""11C"", ""count"": 1}, {""label"": ""16C"", ""count"": 1}, {""label"": ""17C"", ""count"": 1}]","{""exact_value"": 7}","{""YES"": 5, ""BUY"": 2}","[{""handle"": ""0x173516ae13b47be650a6df996ec4ff2f24950319"", ""count"": 4}, {""handle"": ""punch-the-macaque"", ""count"": 2}, {""handle"": ""0x5264b001677b47dd2E20fe20213749DbD7909a63-1770895753458"", ""count"": 1}]"
70.87,Chongqing,April 13,highest,C,3,7,5,2,37.15,0.0,"[{""label"": ""20C"", ""count"": 5}, {""label"": ""21C"", ""count"": 1}, {""label"": ""22C"", ""count"": 1}]","{""exact_value"": 7}","{""BUY"": 3, ""SELL"": 2, ""NO"": 1, ""YES"": 1}","[{""handle"": ""Alrescha-114"", ""count"": 5}, {""handle"": ""Andyminvest"", ""count"": 1}, {""handle"": ""smallyua"", ""count"": 1}]"
70.86,Seattle,March 10,highest,F,3,3,0,3,636.35,0.0,"[{""label"": ""42-43F"", ""count"": 2}, {""label"": ""44-45F"", ""count"": 1}]","{""exact_range"": 3}","{""YES"": 3}","[{""handle"": ""0xhana"", ""count"": 1}, {""handle"": ""daasw"", ""count"": 1}, {""handle"": ""0xf64145c4c47B7Ce75CDe11C15A82136a14fB2B4A-1770645462820"", ""count"": 1}]"
70.81,Manila,April 16,highest,C,3,7,5,2,31.08,0.0,"[{""label"": ""34C"", ""count"": 3}, {""label"": ""35C"", ""count"": 2}, {""label"": ""33C"", ""count"": 1}, {""label"": ""32C"", ""count"": 1}]","{""exact_value"": 7}","{""BUY"": 5, ""YES"": 2}","[{""handle"": ""tianqizhishen"", ""count"": 3}, {""handle"": ""Alrescha-114"", ""count"": 3}, {""handle"": ""hkooooo"", ""count"": 1}]"
70.74,Seattle,March 15,highest,F,3,5,0,5,324.37,0.0,"[{""label"": ""44-45F"", ""count"": 2}, {""label"": ""46-47F"", ""count"": 1}, {""label"": ""48-49F"", ""count"": 1}, {""label"": ""42-43F"", ""count"": 1}]","{""exact_range"": 5}","{""YES"": 4, ""NO"": 1}","[{""handle"": ""0xhana"", ""count"": 2}, {""handle"": ""0xf64145c4c47B7Ce75CDe11C15A82136a14fB2B4A-1770645462820"", ""count"": 2}, {""handle"": ""daasw"", ""count"": 1}]"
70.73,New York City,April 19,highest,F,3,7,3,4,22.73,0.0,"[{""label"": ""50-51F"", ""count"": 4}, {""label"": ""48-49F"", ""count"": 2}, {""label"": ""54-55F"", ""count"": 1}]","{""exact_range"": 7}","{""YES"": 4, ""BUY"": 2, ""SELL"": 1}","[{""handle"": ""Lucky-Boy"", ""count"": 5}, {""handle"": ""Amano-Hina"", ""count"": 1}, {""handle"": ""Lmaccoinz"", ""count"": 1}]"
